priority_tier,section,page_type,title,url,date,target_intent,action,owner,status,notes,clicks_before_7d,impressions_before_7d,ctr_before,position_before,clicks_after_7d,impressions_after_7d,ctr_after,position_after,delta_clicks_pct,delta_ctr_pct
P2,startups,article,AI Fintech: The Startups Making Money at the Intersection of AI and Finance,https://aibusiness.vc/startups/ai-fintech-companies,2026-04-01,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,startups,article,AI Robotics: The $5B Startups Building Humanoid Workers,https://aibusiness.vc/startups/ai-robotics-billions,2026-04-01,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,startups,article,NVIDIA: $130B Revenue and 80% Market Share — The AI Economy's Kingmaker,https://aibusiness.vc/startups/nvidia-ai-dominance,2026-04-01,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,startups,article,$150 Billion in AI Funding in 2025: Where the Money Went,https://aibusiness.vc/startups/ai-funding-150b-2025,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,startups,article,AI Revenue Leaderboard: Which Companies Make the Most Money from AI,https://aibusiness.vc/startups/ai-revenue-leaderboard,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,startups,article,Anthropic Reaches $5B ARR — How Claude Became a Revenue Machine,https://aibusiness.vc/startups/anthropic-5b-arr,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,startups,article,Cursor: From Side Project to $9B Valuation — The AI Coding Revolution,https://aibusiness.vc/startups/cursor-9b-valuation,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,startups,article,Databricks: $4B ARR and the $134B Bet on Enterprise AI Infrastructure,https://aibusiness.vc/startups/databricks-4b-arr,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,startups,article,"Midjourney: $500M Revenue, Zero Funding, 40 Employees",https://aibusiness.vc/startups/midjourney-500m-zero-funding,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,startups,article,OpenAI Hits $13B ARR: The Fastest-Growing Company in History,https://aibusiness.vc/startups/openai-13b-arr,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,startups,article,Perplexity Crosses $100M ARR — The AI Search Engine Challenging Google,https://aibusiness.vc/startups/perplexity-100m-arr,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,startups,article,AI ETFs: How to Invest in the AI Boom Without Picking Stocks,https://aibusiness.vc/startups/ai-etf-investing-guide,2026-03-30,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,startups,article,The AI Chip Race: Why NVIDIA Made $130B and Who's Next,https://aibusiness.vc/startups/ai-hardware-companies,2026-03-30,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,startups,article,How Open Source AI Companies Turn Free Software into Billions,https://aibusiness.vc/startups/ai-open-source-business-models,2026-03-30,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P1,b2b,article,AI Cloud Capacity Crunch in 2026: Why Enterprise ROI Now Depends on Compute,https://aibusiness.vc/b2b/ai-cloud-capacity-crunch-enterprise-roi-2026,2026-04-30,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,b2b,article,AI CRM Automation ROI for SMBs in 2026: Where Profit Actually Comes From,https://aibusiness.vc/b2b/ai-crm-automation-roi-smb,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,b2b,article,AI Customer Support ROI in 2026: Where B2B Margin Gains Are Real,https://aibusiness.vc/b2b/ai-customer-support-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,b2b,article,AI Executive Reporting Automation in 2026: From Status Chaos to Decision Clarity,https://aibusiness.vc/b2b/ai-executive-reporting-automation,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,b2b,article,"Will AI Collapse Real Estate in 2026? Winners, Losers, and the New Profit Pool",https://aibusiness.vc/b2b/ai-kills-real-estate-industry,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P2,b2b,article,"AI Lead Response Automation for SMB: Faster Follow-Up, More Pipeline",https://aibusiness.vc/b2b/ai-lead-response-automation-smb,2026-04-28,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,done,Section support page | Week4 content quality sprint shipped 2026-04-30,,,,,,,,,,
P2,b2b,article,AI Support Automation Playbook for SMB: Cut Cost Without Breaking Customer Trust,https://aibusiness.vc/b2b/ai-support-automation-playbook-smb,2026-04-28,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,done,Section support page | Week4 content quality sprint shipped 2026-04-30,,,,,,,,,,
P2,b2b,article,AI in Construction: How Builders Save 20% on Project Costs,https://aibusiness.vc/b2b/ai-construction-industry,2026-04-01,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,b2b,article,AI Fraud Detection: How Banks Save $10B+ Per Year Catching Criminals,https://aibusiness.vc/b2b/ai-fraud-detection-billions,2026-04-01,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,b2b,article,AI Insurance Claims: How Insurers Process Claims 10x Faster and Save Billions,https://aibusiness.vc/b2b/ai-insurance-claims,2026-04-01,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,b2b,article,AI in Logistics: How Shipping Companies Save 10-20% on Transportation Costs,https://aibusiness.vc/b2b/ai-logistics-shipping,2026-04-01,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,b2b,article,AI Marketing ROI: Companies Using AI Generate 3x More Content at 40% Lower Cost,https://aibusiness.vc/b2b/ai-marketing-roi-stats,2026-04-01,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,b2b,article,AI Dynamic Pricing: How Retailers Increase Margins 5-15% Automatically,https://aibusiness.vc/b2b/ai-retail-pricing,2026-04-01,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,b2b,article,How AI Reduces Employee Turnover — Saving Companies $50K Per Lost Worker,https://aibusiness.vc/b2b/ai-reduces-employee-turnover,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,b2b,article,How Companies Are Saving Billions with AI: The Biggest ROI Stories of 2026,https://aibusiness.vc/b2b/ai-saves-companies-billions,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,b2b,article,GitHub Copilot Crosses $2B ARR — 46% of Code Is Now AI-Generated,https://aibusiness.vc/b2b/github-copilot-2b-arr,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,b2b,article,"JPMorgan's AI Saves 360,000 Lawyer Hours Per Year — Worth $150M+",https://aibusiness.vc/b2b/jpmorgan-ai-360k-hours,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,b2b,article,"Klarna's AI Replaces 700 Agents, Saves $40M/Year — The Full Story",https://aibusiness.vc/b2b/klarna-ai-replaces-700-agents,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,b2b,article,How Moderna Uses AI to Save $1-2 Billion Per Drug — The Future of Pharma,https://aibusiness.vc/b2b/moderna-ai-drug-discovery,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,b2b,article,Walmart's AI Negotiates Better Deals Than Humans — Saving Billions,https://aibusiness.vc/b2b/walmart-ai-negotiations,2026-03-31,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P1,vc,article,"AI Roll-Up Strategy in 2026: Buy Cash Flow, Upgrade Ops, Compound Value",https://aibusiness.vc/vc/ai-rollup-strategy-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,vc,article,AI Series A in 2026: What Investors Ask in Partner Meetings,https://aibusiness.vc/vc/ai-series-a-metrics-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,vc,article,AI Startup Due Diligence in 2026: What Breaks Deals (and How to Prepare),https://aibusiness.vc/vc/ai-startup-due-diligence-checklist-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,vc,article,AI Startup Term Sheet Guide (2026): What Founders Must Negotiate First,https://aibusiness.vc/vc/ai-term-sheet-guide-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,vc,article,"Beyond VC for AI Startups (2026): Venture Debt, RBF, and Strategic Capital",https://aibusiness.vc/vc/beyond-vc-ai-startup-funding-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P2,vc,article,Best AI Startup Accelerators: Which Program Gets You Funded Fastest,https://aibusiness.vc/vc/ai-accelerators-ranked,2026-04-05,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,done,Section support page | Week4 content quality sprint shipped 2026-04-30,,,,,,,,,,
P2,vc,article,Angel Investing in AI Startups: How to Deploy $25K-$100K for 10-50x Returns,https://aibusiness.vc/vc/ai-angel-investing-guide,2026-04-05,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,done,Section support page | Week4 content quality sprint shipped 2026-04-30,,,,,,,,,,
P2,vc,article,AI Exits 2025: The Biggest Acquisitions and What They Mean for Investors,https://aibusiness.vc/vc/ai-exits-acquisitions-2025,2026-04-05,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,vc,article,How to Raise a Seed Round for Your AI Startup: The $3-8M Playbook,https://aibusiness.vc/vc/how-to-raise-ai-seed-round,2026-04-05,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,vc,article,Impact Investing in AI: The $28B Market Where Doing Good Pays Well,https://aibusiness.vc/vc/impact-investing-ai,2026-04-05,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,vc,article,Top 15 VC Funds Investing in AI: Who Writes the Biggest Checks,https://aibusiness.vc/vc/top-ai-vc-funds-2026,2026-04-05,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,vc,article,"AI Companies Going Public in 2026: SPACs, Direct Listings, and the IPO Pipeline",https://aibusiness.vc/vc/ai-spac-ipo-2026,2026-04-04,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,vc,article,AI Startup Valuations 2025-2026: How VCs Price AI Companies and What Multiples to Expect,https://aibusiness.vc/vc/ai-startup-valuations-2025-2026,2026-04-04,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,vc,article,AI Venture Debt: How Startups Raise $5M-$50M Without Giving Up Equity,https://aibusiness.vc/vc/ai-venture-debt-guide,2026-04-04,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P1,government,article,AI in Tax and Benefits Administration: Where Governments See Real ROI,https://aibusiness.vc/government/ai-tax-benefits-administration-roi,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,government,article,How Governments Should Measure AI Projects in 2026: A KPI Framework That Actually Works,https://aibusiness.vc/government/government-ai-kpi-framework-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,government,article,Government AI Risk Register (2026): The Risks That Actually Stop Rollouts,https://aibusiness.vc/government/government-ai-risk-register-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,government,article,Public AI Procurement Playbook (2026): How Vendors Actually Win Government Deals,https://aibusiness.vc/government/public-ai-procurement-playbook-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,government,article,Sovereign AI in 2026: Why Governments Are Building National AI Stacks,https://aibusiness.vc/government/sovereign-ai-national-stacks-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P2,government,article,AI Data Centers: The $500B Construction Boom Powering the AI Economy,https://aibusiness.vc/government/ai-data-centers-global,2026-04-05,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,done,Section support page | Week4 content quality sprint shipped 2026-04-30,,,,,,,,,,
P2,government,article,"AI in Space: How NASA, SpaceX, and Satellites Earn Billions from AI",https://aibusiness.vc/government/ai-in-space-nasa,2026-04-05,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,done,Section support page | Week4 content quality sprint shipped 2026-04-30,,,,,,,,,,
P2,government,article,AI Regulation: Does It Help or Block Your Business? Country-by-Country Guide,https://aibusiness.vc/government/ai-regulation-help-or-block,2026-04-05,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,government,article,AI Smart Cities: $3B+ Projects Where Governments Pay for AI Infrastructure,https://aibusiness.vc/government/ai-smart-cities-money,2026-04-05,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,government,article,China's $150B AI Strategy: How Beijing Plans to Dominate AI by 2030,https://aibusiness.vc/government/china-ai-strategy,2026-04-05,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,government,article,EU AI Act Compliance: What It Actually Costs and How to Profit From It,https://aibusiness.vc/government/eu-ai-act-compliance-cost,2026-04-05,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,government,article,"US Government AI Spending: $140B+ for Defense, $30B for Civilian — Who Gets the Contracts",https://aibusiness.vc/government/us-government-ai-spending,2026-04-05,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,government,article,AI in Healthcare Policy: $30B Medicare AI Modernization and the Race to Cut Costs,https://aibusiness.vc/government/ai-healthcare-policy-medicare,2026-04-04,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,government,article,How to Win a Government AI Contract: $50B in Federal AI Procurement Up for Grabs in 2026,https://aibusiness.vc/government/government-ai-contracts-procurement,2026-04-04,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,government,article,State-Level AI Initiatives: Which US States Spend the Most on AI and Where the Money Goes,https://aibusiness.vc/government/state-level-ai-spending,2026-04-04,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
